id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6072,West Chester,United States of America,39.9585,-75.6095,us-wct-as7922.anchors.atlas.ripe.net,76.26.115.194,1698336
6092,Ashburn,United States of America,39.0385,-77.4885,us-qas-as14907.anchors.atlas.ripe.net,208.80.155.69,1790945
6093,Carrollton,United States of America,32.9885,-96.9285,us-cax-as14907.anchors.atlas.ripe.net,208.80.152.244,32390538
6095,San Francisco,United States of America,37.7195,-122.3985,us-sfo-as14907.anchors.atlas.ripe.net,198.35.26.244,1791307
6101,Phoenix,United States of America,33.4175,-112.0125,us-phx-as53824.anchors.atlas.ripe.net,50.28.98.185,1817190
6222,Boston,United States of America,42.3485,-71.0615,us-bos-as26167.anchors.atlas.ripe.net,185.114.152.90,5402541
6229,La Jolla,United States of America,32.8815,-117.2415,us-ljl-as195.anchors.atlas.ripe.net,192.172.226.235,6922487
6274,Tukwila,United States of America,47.4995,-122.2895,us-tuk-as13331.anchors.atlas.ripe.net,204.15.11.34,8251680
6280,Elk Grove Village,United States of America,41.9975,-87.9685,us-evi-as19255.anchors.atlas.ripe.net,163.237.247.18,8627599
6287,Karlstad,United States of America,48.5805,-96.5185,us-ktd-as33362.anchors.atlas.ripe.net,69.89.207.87,8843543
6341,Chantilly,United States of America,38.8875,-77.4305,us-cyl-as10745.anchors.atlas.ripe.net,192.136.136.221,11528424
6343,Chicago,United States of America,41.8485,-87.6205,us-chi-as2914.anchors.atlas.ripe.net,204.42.254.42,11596830
6373,Kansas City,United States of America,39.0985,-94.5795,us-mkc-as32097.anchors.atlas.ripe.net,69.30.249.206,15155209
6379,Durham,United States of America,35.9315,-78.8795,us-dur-as36236.anchors.atlas.ripe.net,104.225.3.74,15393461
6388,Pittsburgh,United States of America,40.4315,-80.0385,us-pit-as17054.anchors.atlas.ripe.net,208.40.192.202,15716034
6389,Detroit,United States of America,42.4515,-83.2585,us-sfj-as36444.anchors.atlas.ripe.net,208.86.250.253,15750885
6394,Portland,United States of America,45.5195,-122.6785,us-pdx-as16509.anchors.atlas.ripe.net,52.25.230.98,15967767
6411,San Jose,United States of America,37.2375,-121.7825,us-sjc-as55002.anchors.atlas.ripe.net,107.162.217.5,17174667
6418,Indianapolis,United States of America,39.9615,-86.1525,us-ind-as17054.anchors.atlas.ripe.net,216.37.47.154,17429171
6434,Seattle,United States of America,47.6095,-122.3415,us-sea-as20473.anchors.atlas.ripe.net,45.77.211.82,17926189
6436,Piscataway,United States of America,40.5605,-74.4815,us-pil-as20473.anchors.atlas.ripe.net,207.246.88.250,18023610
6437,Dallas,United States of America,32.7905,-96.7915,us-txt-as20473.anchors.atlas.ripe.net,207.148.2.169,18054036
6452,Miami,United States of America,25.7985,-80.2305,us-mia-as20473.anchors.atlas.ripe.net,207.246.74.246,18395756
6454,Atlanta,United States of America,33.7795,-84.4205,us-atl-as20473.anchors.atlas.ripe.net,144.202.18.114,18398356
6472,Columbus,United States of America,39.9585,-82.9995,us-cmh-as16509.anchors.atlas.ripe.net,3.17.51.141,18724764
6480,Fremont,United States of America,37.4675,-121.9185,us-fnc-as13925.anchors.atlas.ripe.net,23.131.160.206,18997006
6492,Los Angeles,United States of America,34.0485,-118.2585,us-lax-as21699.anchors.atlas.ripe.net,149.20.162.6,19268324
6525,Palo Alto,United States of America,37.4295,-122.1715,us-pao-as32.anchors.atlas.ripe.net,171.67.70.16,20404902
6549,New York,United States of America,40.7115,-74.0105,us-nyc-as15133.anchors.atlas.ripe.net,152.195.68.35,21440589
6557,Buffalo,United States of America,42.8905,-78.8805,us-buf-as201971.anchors.atlas.ripe.net,185.57.190.200,21802260
6565,Hoopeston,United States of America,40.4595,-87.6595,us-hup-as63056.anchors.atlas.ripe.net,192.5.203.212,22006775
6588,McLean,United States of America,38.9215,-77.2085,us-xqm-as10886.anchors.atlas.ripe.net,206.196.178.150,22492824
6613,Council Bluffs,United States of America,41.2585,-95.8625,us-cbf-as15169.anchors.atlas.ripe.net,34.68.239.153,22933861
6614,Moncks Corner,United States of America,33.1995,-80.0125,us-mnk-as15169.anchors.atlas.ripe.net,35.243.131.207,22996334
6634,Minneapolis,United States of America,44.9695,-93.2515,us-mes-as5006.anchors.atlas.ripe.net,206.144.240.4,23120155
6644,Secaucus,United States of America,40.7795,-74.0805,us-uyk-as199524.anchors.atlas.ripe.net,92.38.169.178,23161539
6692,Dallas tx,United States of America,32.7885,-96.7885,us-dcx-as5006.anchors.atlas.ripe.net,206.144.243.4,23663001
6698,The Dalles,United States of America,45.5915,-121.1785,us-dls-as15169.anchors.atlas.ripe.net,104.196.238.136,23732749
